id,prenom,nom,sexe,date_naissance,classe
93,Lyana,Rey,Fille,2010-05-12,5
94,Robin,Muller,Garçon,2011-06-18,6
95,Gabin,Faure,Garçon,2011-11-19,7
96,Alice,Barbier,Fille,2005-08-13,1
97,Lina,Roy,Fille,2009-10-07,5
98,Léon,Olivier,Garçon,2009-05-11,4
99,Romane,Lemaire,Fille,2007-03-20,2
100,Mia,Nicolas,Fille,2006-02-23,2
101,Gabriel,Michel,Garçon,2005-11-11,1
102,Lola,Roy,Fille,2008-09-25,4
103,Julia,Renard,Fille,2010-01-06,5
104,Victor,Guerin,Garçon,2007-03-21,2
105,Noah,Rey,Garçon,2005-07-21,1
106,Ayden,Guerin,Garçon,2008-10-01,4
107,Axel,Masson,Garçon,2010-02-28,5
108,Théo,Leclercq,Garçon,2011-11-16,7
109,Ibrahim,Roussel,Garçon,2010-11-29,6
110,Isaac,Lemoine,Garçon,2005-03-16,1
111,Jules,Gautier,Garçon,2009-07-17,5
112,Victoria,Brun,Fille,2009-05-28,5
113,Timéo,Martinez,Garçon,2008-06-03,4
114,Léna,Lambert,Fille,2010-11-18,6
115,Augustin,Rey,Garçon,2009-11-05,5
116,Charlotte,Richard,Fille,2012-07-07,7
117,Valentin,Lefevre,Garçon,2011-09-20,7
118,Lola,Benoit,Fille,2010-04-14,5
119,Agathe,Arnaud,Fille,2005-06-03,1
120,Adam,Guerin,Garçon,2005-05-07,1
121,Noé,Guillaume,Garçon,2010-01-26,5
122,Olivia,Brunet,Fille,2012-07-01,7
123,Tom,Laurent,Garçon,2005-11-04,1
124,Anna,Morin,Fille,2008-02-13,3
125,Léa,Robert,Fille,2006-03-10,2
126,Milo,Dupont,Garçon,2011-01-20,6
127,Ava,Marchand,Fille,2010-06-06,6
128,Timéo,Simon,Garçon,2005-10-03,1
129,Raphaël,Leclercq,Garçon,2005-07-23,1
130,Lyam,Richard,Garçon,2010-09-15,6
131,Luna,Michel,Fille,2005-06-21,1
132,Chloé,Moreau,Fille,2006-04-11,2
133,Ava,Robert,Fille,2009-10-15,5
134,Luna,Legrand,Fille,2011-04-18,6
135,Gaspard,Lemaire,Garçon,2009-04-14,4
136,Zoé,Mercier,Fille,2012-04-24,7
137,Théo,Petit,Garçon,2011-09-05,7
138,Elio,Vidal,Garçon,2006-02-09,1
139,Adèle,Chevalier,Fille,2005-12-08,1
140,Louise,Lemaire,Fille,2011-05-06,7
141,Jade,Lefevre,Fille,2008-06-09,4
142,Axel,Roux,Garçon,2007-04-28,3
143,Tiago,Laurent,Garçon,2009-04-02,4
144,Gabin,Dubois,Garçon,2007-07-21,3
145,Sacha,Moreau,Garçon,2012-01-27,7
146,Charlotte,Boyer,Fille,2009-12-17,5
147,Aaron,Richard,Garçon,2012-03-09,7
148,Romy,Roche,Fille,2007-01-01,2
149,Sofia,Renard,Fille,2009-08-03,5
150,Adèle,Girard,Fille,2011-02-16,6
151,Eden,Martin,Garçon,2005-10-27,1
152,Rose,Gautier,Fille,2005-08-29,1
153,Agathe,Noel,Fille,2011-10-22,7
154,Gabriel,Payet,Garçon,2008-05-16,4
155,Eliott,Chevalier,Garçon,2008-07-08,4
156,Enzo,Henry,Garçon,2007-09-21,3
157,Rose,Roussel,Fille,2012-03-09,7
158,Elena,Laurent,Fille,2006-04-09,2
159,Gabriel,Gauthier,Garçon,2006-08-23,2
160,Aaron,Lacroix,Garçon,2011-09-07,7
161,Sacha,Giraud,Garçon,2008-08-08,4
162,Rose,Robert,Fille,2011-03-03,6
163,Iris,Pierre,Fille,2009-04-06,5
164,Nino,Bertrand,Garçon,2012-02-28,7
165,Théo,Arnaud,Garçon,2010-10-04,6
166,Rayan,Vincent,Garçon,2011-05-13,6
167,Léa,Roussel,Fille,2005-06-29,1
168,Lyam,Dupont,Garçon,2006-12-04,2
169,Romy,Clement,Fille,2007-03-20,3
170,Lucie,Francois,Fille,2006-03-04,1
171,Naël,Guillaume,Garçon,2006-12-10,2
172,Louna,Roger,Fille,2005-02-10,1
173,Valentin,Joly,Garçon,2011-05-30,6
174,Adam,Philippe,Garçon,2007-07-12,3
175,Jade,Dupont,Fille,2010-12-07,6
176,Timéo,Boyer,Garçon,2010-10-30,6
177,Eden,Brun,Garçon,2009-10-19,5
178,Emy,Rousseau,Fille,2010-12-07,6
179,Noah,Meunier,Garçon,2008-03-14,3
180,Léon,Renaud,Garçon,2011-10-31,7
181,Timéo,Gautier,Garçon,2009-01-11,4
182,Adèle,Lecomte,Fille,2011-09-16,7
183,Mya,Dufour,Fille,2006-03-14,2
184,Imran,Fontaine,Garçon,2006-12-19,2
185,Mila,Lucas,Fille,2009-11-19,5
186,Arthur,Perrin,Garçon,2006-07-08,2
187,Mia,Lacroix,Fille,2008-12-07,4
188,Gabriel,Rousseau,Garçon,2012-01-25,7
189,Martin,Robin,Garçon,2006-09-06,2
190,Jade,Roche,Fille,2009-04-14,5
191,Agathe,Lefebvre,Fille,2011-06-29,7
192,Emma,Robin,Fille,2009-05-17,4
193,Luna,Girard,Fille,2007-01-18,2
194,Mia,Leroux,Fille,2005-10-03,1
195,Mathis,Lambert,Garçon,2010-11-28,6
196,Alix,Bourgeois,Fille,2011-06-15,7
197,Zoé,Colin,Fille,2007-01-17,2
198,Charlotte,Philippe,Fille,2007-02-06,2
199,Victor,Thomas,Garçon,2009-11-23,5
200,Julia,Roger,Fille,2011-10-25,7
201,Lou,Lacroix,Fille,2005-03-04,1
202,Nour,Bonnet,Fille,2010-05-17,5
203,Mila,Riviere,Fille,2007-02-18,3
204,Elio,Dupont,Garçon,2008-02-01,3
205,Maël,Lefevre,Garçon,2006-03-02,1
206,Iris,Andre,Fille,2008-01-27,3
207,Margaux,Garcia,Fille,2006-03-15,1
208,Luna,Fournier,Fille,2008-01-16,3
209,Imran,Dupont,Garçon,2011-12-30,7
210,Elena,Bertrand,Fille,2012-04-06,7
211,Nino,Lecomte,Garçon,2007-04-03,2
212,Iris,Brunet,Fille,2005-07-03,1
213,Ayden,Barbier,Garçon,2007-11-12,3
214,Gabin,Lacroix,Garçon,2008-01-11,3
215,Sacha,Barbier,Garçon,2005-04-16,1
216,Alix,Gautier,Fille,2008-07-25,4
217,Mohamed,Guillaume,Garçon,2009-08-18,5
218,Rose,Morin,Fille,2008-04-16,3
219,Juliette,Leclerc,Fille,2007-07-02,3
220,Augustin,Noel,Garçon,2010-04-06,6
221,Charlotte,Caron,Fille,2007-02-20,3
222,Hugo,Vincent,Garçon,2009-10-13,5
223,Julia,Gerard,Fille,2005-12-19,1
224,Lyana,Gerard,Fille,2007-03-23,3
225,Enzo,Roy,Garçon,2006-01-09,1
226,Lya,Roux,Fille,2011-10-23,7
227,Romy,Andre,Fille,2008-02-12,3
228,Nino,Laurent,Garçon,2005-12-05,1
229,Giulia,Caron,Fille,2010-09-18,6
230,Chloé,Robin,Fille,2008-05-10,3
231,Théo,Guerin,Garçon,2010-04-12,5
232,Léo,Leroy,Garçon,2011-05-12,6
233,Louise,Nicolas,Fille,2011-02-26,6
234,Adam,Garcia,Garçon,2007-03-23,2
235,Rayan,Roger,Garçon,2005-12-31,1
236,Emma,Guerin,Fille,2009-08-13,5
237,Théo,Philippe,Garçon,2008-10-13,4
238,Lou,Chevalier,Fille,2007-04-02,3
239,Luna,Robin,Fille,2008-07-07,4
240,Mohamed,Lemoine,Garçon,2006-08-18,2
241,Robin,Rousseau,Garçon,2012-01-19,7
242,Alma,Girard,Fille,2005-09-23,1
243,Liam,Lucas,Garçon,2010-05-25,5
244,Lya,Robin,Fille,2007-04-10,2
245,Nina,Roche,Fille,2012-03-20,7
246,Juliette,Guillaume,Fille,2008-09-23,4
247,Nour,Meyer,Fille,2007-02-15,3
248,Alix,Simon,Fille,2009-05-22,5
249,Aaron,Roche,Garçon,2008-10-12,4
250,Julia,Martin,Fille,2011-04-30,6
251,Ambre,Meunier,Fille,2005-09-26,1
252,Tom,Renard,Garçon,2007-10-10,3
253,Lina,Leclercq,Fille,2007-10-09,3
254,Timéo,Rousseau,Garçon,2005-05-20,1
255,Augustin,Duval,Garçon,2010-05-22,5
256,Iris,Rolland,Fille,2005-10-19,1
257,Isaac,Brunet,Garçon,2011-02-16,6
258,Emma,Lucas,Fille,2006-11-02,2
259,Gaspard,Arnaud,Garçon,2010-06-09,5
260,Alba,Lefebvre,Fille,2010-04-24,6
261,Juliette,Perrin,Fille,2005-06-09,1
262,Eliott,Payet,Garçon,2005-11-10,1
263,Zoé,Durand,Fille,2008-04-01,3
264,Enzo,Renaud,Garçon,2006-09-21,2
265,Paul,Joly,Garçon,2007-10-01,3
266,Valentin,Leclerc,Garçon,2010-01-23,5
267,Gabriel,Gauthier,Garçon,2006-03-21,2
268,Nino,Leroux,Garçon,2007-07-19,3
269,Victoire,Colin,Fille,2011-10-13,7
270,Giulia,Leclercq,Fille,2005-11-28,1
271,Valentin,Robert,Garçon,2006-10-29,2
272,Hugo,Leclerc,Garçon,2006-08-26,2
273,Ethan,Petit,Garçon,2011-02-27,6
274,Nina,Renaud,Fille,2005-08-10,1
275,Emy,Guerin,Fille,2010-05-29,5
276,Raphaël,Marie,Garçon,2007-07-12,3
277,Léonie,Payet,Fille,2011-08-21,7
278,Charlie,Roche,Fille,2005-12-02,1
279,Mia,Morel,Fille,2008-07-23,4
280,Eva,Morin,Fille,2009-04-09,4
281,Elena,Marchand,Fille,2008-12-25,4
282,Louis,Roy,Garçon,2007-03-01,2
283,Ibrahim,Marie,Garçon,2008-06-30,4
284,Julia,Nicolas,Fille,2012-05-23,7
285,Léa,Lucas,Fille,2011-07-02,7
286,Adèle,Blanc,Fille,2008-04-26,3
287,Alma,Fontaine,Fille,2008-09-08,4
288,Elena,Marchand,Fille,2005-06-30,1
289,Hugo,Vincent,Garçon,2007-12-22,3
290,Alba,Boyer,Fille,2012-05-08,7
291,Imran,Lefebvre,Garçon,2011-11-30,7
292,Alba,Picard,Fille,2006-03-02,1
293,Ayden,Mathieu,Garçon,2010-09-14,6
294,Sofia,Robert,Fille,2006-11-11,2
295,Alba,Bourgeois,Fille,2009-05-21,4
296,Léa,Roussel,Fille,2006-12-22,2
297,Milo,Fontaine,Garçon,2008-01-09,3
298,Léonie,Muller,Fille,2007-12-07,3
299,Léonie,Aubert,Fille,2009-08-05,5
300,Ibrahim,Denis,Garçon,2006-07-15,2
301,Victoire,Robin,Fille,2011-09-24,7
302,Théo,Renaud,Garçon,2006-11-27,2
303,Lucie,Bernard,Fille,2007-11-13,3
304,Eliott,Fontaine,Garçon,2012-05-07,7
305,Emy,Meyer,Fille,2008-05-07,4
306,Jules,Meunier,Garçon,2011-02-21,6
307,Maël,Lucas,Garçon,2008-05-06,3
308,Milo,Lucas,Garçon,2005-09-01,1
309,Léo,Blanc,Garçon,2006-03-24,2
310,Imran,Benoit,Garçon,2006-02-09,2
311,Anna,Lemoine,Fille,2009-12-03,5
312,Hugo,Mercier,Garçon,2008-12-08,4
313,Lucas,Barbier,Garçon,2010-05-12,5
314,Gabriel,Brun,Garçon,2009-04-02,4
315,Victoria,Bourgeois,Fille,2006-02-12,2
316,Sofia,Lemaire,Fille,2010-04-22,6
317,Naël,Andre,Garçon,2006-10-28,2
318,Tiago,Garnier,Garçon,2011-04-28,6
319,Victoire,Brun,Fille,2011-01-15,6
320,Iris,Roger,Fille,2007-02-04,2
321,Lya,Rey,Fille,2012-01-31,7
322,Marceau,Roger,Garçon,2008-05-07,4
323,Lyam,Gautier,Garçon,2006-09-16,2
324,Gaspard,Riviere,Garçon,2011-08-17,7
325,Léonie,Dumont,Fille,2010-01-12,5
326,Mya,Francois,Fille,2005-12-23,1
327,Noah,Girard,Garçon,2007-03-02,2
328,Sacha,Laurent,Garçon,2006-06-06,2
329,Rose,Roux,Fille,2007-02-23,3
330,Lucie,Francois,Fille,2008-04-04,4
331,Marius,Dumont,Garçon,2011-05-24,7
332,Malo,Benoit,Garçon,2010-10-03,6
333,Victoire,Robin,Fille,2007-03-02,2
334,Marius,Aubert,Garçon,2009-12-02,5
335,Imran,Leclercq,Garçon,2012-06-28,7
336,Léna,Andre,Fille,2007-01-19,2
337,Agathe,Bourgeois,Fille,2007-07-31,3
338,Victor,Leroux,Garçon,2008-05-03,4
339,Léon,Lacroix,Garçon,2010-05-20,6
340,Iris,Vidal,Fille,2012-05-15,7
341,Rayan,Renaud,Garçon,2006-07-06,2
342,Enzo,Masson,Garçon,2008-08-26,4
343,Iris,Joly,Fille,2009-11-06,5
344,Théo,Picard,Garçon,2011-01-09,6
345,Ibrahim,Aubert,Garçon,2008-03-08,3
346,Romy,Lacroix,Fille,2007-05-05,3
347,Gaspard,Lucas,Garçon,2006-04-27,2
348,Mya,Richard,Fille,2010-09-28,6
349,Olivia,Guerin,Fille,2007-03-24,2
350,Gabin,Roche,Garçon,2010-11-20,6
351,Adam,Guerin,Garçon,2008-05-14,4
352,Charlie,Laurent,Fille,2012-03-26,7
353,Nour,Blanchard,Fille,2009-04-26,4
354,Augustin,Leroux,Garçon,2009-05-03,4
355,Gabin,Dubois,Garçon,2007-05-03,3
356,Inès,Brunet,Fille,2011-05-29,7
357,Mia,Laurent,Fille,2007-12-08,3
358,Lola,Fontaine,Fille,2006-10-29,2
359,Lyana,Aubert,Fille,2008-04-13,3
360,Ambre,Lambert,Fille,2006-12-15,2
361,Robin,Olivier,Garçon,2011-04-05,6
362,Nina,Dumas,Fille,2006-12-30,2
363,Olivia,Marie,Fille,2005-11-09,1
364,Charlotte,Dufour,Fille,2007-12-18,3
365,Alma,Mercier,Fille,2005-10-03,1
366,Rayan,Meyer,Garçon,2006-03-12,1
367,Victor,Dupont,Garçon,2011-06-19,7
368,Lyam,Aubert,Garçon,2006-03-18,1
369,Lina,Riviere,Fille,2009-07-04,5
370,Sacha,Dubois,Garçon,2007-03-14,2
371,Juliette,Meyer,Fille,2005-08-19,1
372,Eden,Chevalier,Garçon,2006-12-04,2
373,Hugo,Giraud,Garçon,2005-12-16,1
374,Arthur,Garnier,Garçon,2009-01-19,4
375,Zoé,Legrand,Fille,2011-06-06,6
376,Robin,Caron,Garçon,2005-12-09,1
377,Romy,Perrin,Fille,2007-09-23,3
378,Jeanne,Gautier,Fille,2011-07-04,7
379,Alba,Bourgeois,Fille,2008-10-02,4
380,Imran,Simon,Garçon,2009-09-20,5
381,Nina,Mercier,Fille,2010-09-05,6
382,Emma,Clement,Fille,2005-02-28,1
383,Rayan,Fabre,Garçon,2012-06-09,7
384,Aaron,Faure,Garçon,2005-07-27,1
385,Tom,Perrin,Garçon,2008-09-21,4
386,Iris,Philippe,Fille,2010-01-13,5
387,Nino,Simon,Garçon,2008-08-11,4
388,Lola,Laurent,Fille,2011-10-15,7
389,Nour,Rey,Fille,2005-08-20,1
390,Noah,Pierre,Garçon,2010-03-12,5
391,Naël,Rousseau,Garçon,2006-12-21,2
392,Ayden,Gaillard,Garçon,2007-03-13,2
393,Mila,Laurent,Fille,2009-03-29,5
394,Giulia,Rey,Fille,2006-08-15,2
395,Charlotte,Martin,Fille,2010-05-02,5
396,Margaux,Moreau,Fille,2011-02-05,6
397,Olivia,Dumas,Fille,2010-12-07,6
398,Romane,Andre,Fille,2008-10-03,4
399,Alix,Bourgeois,Fille,2006-01-07,1
400,Louis,Moreau,Garçon,2008-03-09,4
401,Alba,Philippe,Fille,2007-11-20,3
402,Olivia,Arnaud,Fille,2012-04-08,7
403,Sofia,Thomas,Fille,2009-04-06,4
404,Ibrahim,Joly,Garçon,2010-04-12,6
405,Alix,Payet,Fille,2010-01-22,5
406,Louna,Martinez,Fille,2009-05-09,4
407,Léna,Barbier,Fille,2011-09-30,7
408,Mohamed,Giraud,Garçon,2005-04-21,1
409,Ayden,Lucas,Garçon,2009-04-22,4
410,Iris,Chevalier,Fille,2008-11-12,4
411,Gaspard,Noel,Garçon,2006-01-03,1
412,Alix,Colin,Fille,2010-12-07,6
413,Mya,Meyer,Fille,2005-09-08,1
414,Naël,Rey,Garçon,2010-05-01,6
415,Giulia,Roche,Fille,2006-05-14,2
416,Elena,Masson,Fille,2006-02-05,1
417,Zoé,Blanchard,Fille,2010-12-22,6
418,Nina,Dumont,Fille,2008-03-10,3
419,Gaspard,Masson,Garçon,2007-07-12,3
420,Alba,Dufour,Fille,2011-10-14,7
421,Ava,Nicolas,Fille,2011-05-15,6
422,Milo,Dupont,Garçon,2008-11-06,4
423,Romane,Marchand,Fille,2011-06-15,6
424,Rose,Leroy,Fille,2011-07-16,7
425,Timéo,Laurent,Garçon,2008-03-31,3
426,Luna,Gauthier,Fille,2009-03-05,4
427,Lucas,Meyer,Garçon,2011-09-10,7
428,Maël,Chevalier,Garçon,2009-12-29,5
429,Lola,Joly,Fille,2005-12-15,1
430,Rayan,Renard,Garçon,2009-05-25,5
431,Gabin,Joly,Garçon,2008-10-24,4
432,Malo,Chevalier,Garçon,2010-06-26,6
433,Milo,Perrin,Garçon,2010-05-18,6
434,Nina,Vidal,Fille,2010-06-22,6
435,Robin,Lambert,Garçon,2012-01-19,7
436,Romy,Bernard,Fille,2009-05-08,4
437,Margaux,Lemoine,Fille,2006-04-05,2
438,Enzo,Dumas,Garçon,2010-04-05,5
439,Mohamed,Guillaume,Garçon,2010-11-02,6
440,Augustin,Caron,Garçon,2008-01-15,3
441,Inès,Riviere,Fille,2008-01-02,3
442,Timéo,Olivier,Garçon,2009-03-29,5
443,Louis,Marie,Garçon,2007-10-06,3
444,Léo,Marchand,Garçon,2010-08-01,6
445,Victoria,Denis,Fille,2012-02-16,7
446,Lucie,Simon,Fille,2008-08-16,4
447,Amir,Vidal,Garçon,2006-06-04,2
448,Inaya,Muller,Fille,2011-04-30,7
449,Chloé,Garcia,Fille,2008-04-06,4
450,Louise,Gaillard,Fille,2008-10-13,4
451,Ibrahim,Clement,Garçon,2005-06-03,1
452,Mila,Dubois,Fille,2009-03-11,4
453,Inaya,Durand,Fille,2009-04-27,4
454,Théo,Olivier,Garçon,2009-01-16,4
455,Léon,Moreau,Garçon,2011-07-21,7
456,Inès,Olivier,Fille,2011-04-26,7
457,Jade,Legrand,Fille,2010-10-14,6
458,Timéo,Fontaine,Garçon,2005-02-10,1
459,Jade,Meunier,Fille,2010-04-13,5
460,Nina,Leroux,Fille,2009-02-27,4
461,Agathe,Lambert,Fille,2006-10-25,2
462,Marius,Morel,Garçon,2008-09-07,4
463,Adam,Bonnet,Garçon,2005-07-29,1
464,Emma,Leroux,Fille,2008-04-29,4
465,Sacha,Petit,Garçon,2007-10-20,3
466,Paul,Blanc,Garçon,2009-03-19,5
467,Lyam,Denis,Garçon,2011-05-16,7
468,Margaux,Durand,Fille,2005-06-19,1
469,Milo,Thomas,Garçon,2009-09-11,5
470,Lina,Dufour,Fille,2011-03-24,6
471,Raphaël,Dumas,Garçon,2009-05-09,5
472,Inaya,Giraud,Fille,2011-12-02,7
473,Victor,Riviere,Garçon,2012-04-14,7
474,Elio,Lefebvre,Garçon,2011-11-14,7
475,Mathis,Caron,Garçon,2011-02-27,6
476,Mathis,Durand,Garçon,2010-10-20,6
477,Alice,Simon,Fille,2009-12-12,5
478,Augustin,Nicolas,Garçon,2005-12-06,1
479,Lya,Dubois,Fille,2006-10-23,2
480,Alix,Caron,Fille,2010-05-06,6
481,Axel,Lambert,Garçon,2007-04-09,2
482,Maël,Gaillard,Garçon,2006-08-22,2
483,Paul,Durand,Garçon,2006-03-04,1
484,Milo,Girard,Garçon,2011-03-18,6
485,Chloé,David,Fille,2007-09-27,3
486,Augustin,Brunet,Garçon,2010-08-26,6
487,Gaspard,David,Garçon,2008-05-12,4
488,Nathan,Moreau,Garçon,2011-12-03,7
489,Tom,Gauthier,Garçon,2010-06-04,5
490,Lina,Bourgeois,Fille,2008-06-20,4
491,Adam,Barbier,Garçon,2010-12-25,6
492,Inaya,Leclerc,Fille,2008-03-20,4
493,Lya,Dumont,Fille,2006-03-26,1
494,Jules,Richard,Garçon,2007-03-29,3
495,Margaux,Nicolas,Fille,2010-02-06,5
496,Noé,Arnaud,Garçon,2009-04-30,4
497,Raphaël,Fournier,Garçon,2006-05-28,2
498,Gaspard,Fontaine,Garçon,2007-07-28,3
499,Noah,Meyer,Garçon,2012-04-03,7
500,Milo,Roussel,Garçon,2005-08-20,1
501,Ibrahim,Rolland,Garçon,2008-02-01,3
502,Julia,Blanc,Fille,2010-06-07,6
503,Enzo,Roux,Garçon,2005-09-14,1
504,Nour,Lambert,Fille,2006-10-22,2
505,Maël,Morin,Garçon,2010-11-14,6
506,Mya,Roger,Fille,2006-12-25,2
507,Nathan,Bernard,Garçon,2005-03-11,1
508,Julia,Masson,Fille,2010-01-29,5
509,Mohamed,Fournier,Garçon,2008-04-28,4
510,Mia,Vincent,Fille,2009-06-20,5
511,Léon,Philippe,Garçon,2007-05-28,3
512,Adam,Morel,Garçon,2008-02-22,3
513,Louise,Michel,Fille,2007-01-10,2
514,Maël,Dumont,Garçon,2011-02-28,6
515,Noé,Durand,Garçon,2009-12-26,5
516,Eden,Caron,Garçon,2006-04-21,2
517,Léo,Dumont,Garçon,2007-01-22,2
518,Rose,Roy,Fille,2007-03-06,2
519,Gaspard,Gerard,Garçon,2010-11-23,6
520,Tom,Lemaire,Garçon,2007-12-20,3
521,Théo,David,Garçon,2008-10-28,4
522,Ayden,Meyer,Garçon,2009-12-15,5
523,Arthur,Roux,Garçon,2005-01-20,1
524,Lya,Brun,Fille,2005-08-16,1
525,Olivia,Dumas,Fille,2012-04-26,7
526,Nino,Fournier,Garçon,2010-03-03,5
527,Théo,Lacroix,Garçon,2005-04-14,1
528,Sacha,Meyer,Garçon,2010-08-08,6
529,Nino,Richard,Garçon,2011-10-31,7
530,Ambre,Bernard,Fille,2010-01-15,5
531,Marceau,Masson,Garçon,2009-07-23,5
532,Aaron,Lambert,Garçon,2008-10-03,4
533,Anna,Robin,Fille,2006-09-20,2
534,Rayan,Perrin,Garçon,2009-03-27,5
535,Axel,Rolland,Garçon,2011-01-16,6
536,Ethan,Morel,Garçon,2008-01-23,3
537,Victor,Noel,Garçon,2006-12-17,2
538,Mya,Bertrand,Fille,2011-05-27,7
539,Aaron,Dumas,Garçon,2006-07-04,2
540,Zoé,Payet,Fille,2008-10-09,4
541,Naël,Philippe,Garçon,2008-03-12,3
542,Ambre,Francois,Fille,2009-10-31,5
543,Margaux,Michel,Fille,2010-06-16,6
544,Noah,Bernard,Garçon,2008-05-25,4
545,Léna,Richard,Fille,2008-06-28,4
546,Nathan,Girard,Garçon,2012-02-25,7
547,Charlie,Fournier,Fille,2011-01-06,6
548,Victor,Roussel,Garçon,2007-01-14,2
549,Enzo,Renard,Garçon,2009-05-18,4
550,Chloé,Richard,Fille,2009-11-30,5
551,Lya,Girard,Fille,2009-07-14,5
552,Raphaël,Martinez,Garçon,2005-01-23,1
553,Jules,Mathieu,Garçon,2008-05-10,3
554,Milo,Vidal,Garçon,2009-07-29,5
555,Naël,Vidal,Garçon,2008-05-31,4
556,Rayan,Lucas,Garçon,2006-03-24,2
557,Jeanne,David,Fille,2006-09-28,2
558,Nina,Perrin,Fille,2008-10-02,4
559,Léa,Perrin,Fille,2010-05-14,6
560,Léna,Pierre,Fille,2011-05-28,7
